x,y,z
0.5103371,0.4323314,0.4595349
0.5350379,0.4263561,0.4911742
0.524453,0.4330964,0.4734504
0.5154157,0.4089258,0.4990691
0.5402347,0.4357034,0.49088
0.5183094,0.4413378,0.5034668
0.5492581,0.4200447,0.493771
0.535615,0.4501428,0.521136
0.5667091,0.4300472,0.5105953
0.5529671,0.4614625,0.5372609
0.5696619,0.4701425,0.5121758
0.5606409,0.4513415,0.5364187
0.5409942,0.4632653,0.5299239
0.5753667,0.4641954,0.5488799
0.5640519,0.4766974,0.5288658
0.5546714,0.4856142,0.5255432
0.5760802,0.4893858,0.5382466
0.5658216,0.4979016,0.5339506
0.5865391,0.5011991,0.5456384
0.5754378,0.5089239,0.5402314
0.5732477,0.5163165,0.5218478
0.5836779,0.5175999,0.5444666
0.580869,0.5239751,0.5252771
0.5709716,0.5046077,0.5271108
0.5873617,0.5289745,0.5265837
0.5745478,0.5329783,0.5182884
0.5730726,0.5113934,0.5067497
0.5599261,0.5141413,0.4981233
0.5776931,0.511564,0.5059173
0.5642321,0.5132106,0.4970474
0.581871,0.5092645,0.5044673
0.5531135,0.5100784,0.506779
0.5655505,0.4851333,0.4823236
0.5562113,0.5043592,0.5043714
0.5661657,0.5032966,0.4708805
0.5391951,0.4771768,0.4826747
0.5686727,0.494533,0.4692276
0.5415983,0.4675704,0.4812225
0.52726,0.4649112,0.4725347
0.5304508,0.4851373,0.4670376
0.5301889,0.4543513,0.4728433
0.5258315,0.4516706,0.4528793
0.5439394,0.4438548,0.4624901
0.5308812,0.4409864,0.4558887
0.5160185,0.4420293,0.4327313
0.5383532,0.4319301,0.4608472
0.5253103,0.4342568,0.4388005
0.5156203,0.433806,0.434083
0.538178,0.429541,0.44635
0.5299503,0.4305446,0.4424227
0.5449991,0.404334,0.4401511
0.5455946,0.4291143,0.4520651
0.5473361,0.4320763,0.4365826
0.5713284,0.4303574,0.4501067
0.5643131,0.4341967,0.4473442
0.5712565,0.4105234,0.4585998
0.5822873,0.438347,0.4590991
0.5757176,0.4437995,0.4570019
0.5806397,0.4249697,0.4516644
0.5789869,0.4510067,0.4812145
0.6103435,0.4297244,0.4691308
0.5772429,0.4402104,0.474709
0.5922431,0.4453153,0.4474632
0.6188503,0.4442786,0.4795397
0.6092467,0.4554082,0.4608756
0.6005437,0.4358156,0.4847317
0.6125692,0.4635968,0.502599
0.6021937,0.4753391,0.4836922
0.6076537,0.455633,0.4954261
0.6175336,0.4898779,0.4968795
0.6207487,0.4677518,0.5069046
0.6286119,0.4993001,0.5066292
0.6184223,0.5076637,0.5032439
0.630887,0.4881636,0.5010933
0.6083711,0.4991797,0.4924229
0.6396492,0.4987651,0.5091138
0.62537,0.5088121,0.4869339
0.6132036,0.515318,0.4815712
0.6316055,0.5158971,0.4919502
0.6184109,0.5207849,0.4852093
0.6049766,0.5252109,0.4780255
0.6225159,0.5238364,0.4868265
0.6175014,0.5266948,0.4659678
0.6253363,0.52327,0.486212
0.6200373,0.5246531,0.4645763
0.6077964,0.5004002,0.464458
0.6219417,0.5203515,0.4622222
0.594433,0.4955055,0.4734696
0.6035632,0.4945966,0.4395817
0.6084257,0.5128896,0.4495362
0.6051394,0.486328,0.4366876
0.5904633,0.4839963,0.4272881
0.606981,0.4765221,0.434701
0.5777011,0.4740049,0.4375574
0.5520802,0.4740264,0.424368
0.5809237,0.4625759,0.4373336
0.5673605,0.4593792,0.4295411
0.5656477,0.4315205,0.4189197
0.5726893,0.4480604,0.4318074
0.5582907,0.4486587,0.4085429
0.56041,0.4180354,0.4163705
0.5780824,0.4356934,0.4181823
0.5698282,0.409024,0.4226432
0.5688348,0.4082186,0.4060232
0.5767738,0.4305845,0.4050734
0.5818792,0.403208,0.4158866
0.5911699,0.4275648,0.4159412
0.5974803,0.4018286,0.4274594
0.5878218,0.4082263,0.4084233
0.5808747,0.4123545,0.4065505
0.6170467,0.409215,0.4261063
0.5990904,0.4177264,0.4198343
0.6161112,0.3964314,0.419838
0.6182128,0.4259282,0.4338134
0.6209794,0.4331757,0.4203451
0.621586,0.4354056,0.4600909
0.6390012,0.4429931,0.4346665
0.6319628,0.4508732,0.4333001
0.6561763,0.4541925,0.4483673
0.648513,0.4626645,0.4463632
0.6522745,0.446736,0.440781
0.6489171,0.4754325,0.4696787
0.6426101,0.4593533,0.4757254
0.6428468,0.4682175,0.460019
0.6336947,0.4766926,0.4562891
0.6555943,0.4802615,0.4689943
0.6456719,0.4887511,0.4642518
0.6668304,0.4923399,0.4759401
0.656341,0.5004748,0.4706084
0.6569811,0.4839169,0.4616344
0.6654204,0.5110498,0.4752983
0.6630988,0.5186214,0.4566873
0.6627096,0.5008102,0.4467913
0.6703379,0.5265652,0.4595984
0.6692654,0.507674,0.4490996
0.6563987,0.5123739,0.4411057
0.6605415,0.539456,0.4354999
0.6608645,0.5151315,0.4407339
0.6562042,0.5178816,0.4193431
0.6644803,0.5145226,0.4392258
0.6592714,0.5153629,0.4173596
0.6331978,0.5181643,0.4031346
0.6613004,0.5091785,0.41472
0.6199522,0.5114296,0.4124728
0.643222,0.4819265,0.3927327
0.6483474,0.499678,0.4030972
0.631597,0.5010099,0.3768933
0.6326541,0.473332,0.3839633
0.6109608,0.4905233,0.400301
0.6206628,0.4599101,0.3935314
0.6159126,0.4796018,0.4005523
0.6121785,0.47692,0.3803692
0.6134136,0.4460535,0.3866218
0.601465,0.4461557,0.3804651
0.6211885,0.4359454,0.3890357
0.618961,0.4367034,0.3709714
0.6078824,0.4348238,0.3644794
0.6283226,0.4281855,0.3749741
0.6180479,0.4268826,0.3697325
0.6197708,0.4016914,0.3620579
0.630013,0.4211162,0.3777716
0.6187931,0.425359,0.3574185
0.6240826,0.3988954,0.3681744
0.6449057,0.4212808,0.3730379
0.6255712,0.4273093,0.3662218
0.6407357,0.403147,0.3660003
0.6505222,0.4304055,0.3674766
0.6566606,0.4070855,0.3800538
0.6665963,0.4358513,0.3818569
0.6591434,0.4419595,0.380975
0.6654495,0.4202805,0.3941086
0.6554174,0.4305874,0.3764388
0.6663169,0.4296814,0.421245
0.6710336,0.4400179,0.3919592
0.6481446,0.4479252,0.403049
0.686119,0.4505158,0.4067033
0.6626263,0.4587672,0.4170225
0.6678863,0.4389742,0.4290045
0.6764087,0.4705355,0.4294749
0.6673321,0.4790856,0.4268011
0.6890516,0.4828705,0.4402944
0.6793604,0.4916644,0.4369695
0.6807248,0.475734,0.4300181
0.6991373,0.5040105,0.4333253
0.6904823,0.4870619,0.4378601
0.6884834,0.495072,0.420555
0.6769646,0.5025391,0.4151831
0.6963692,0.5045662,0.4258582
0.6842288,0.5112115,0.4196528
0.7031871,0.5123373,0.4297925
0.6906677,0.5176442,0.4227143
0.6893424,0.4981723,0.4121122
0.6962235,0.5221196,0.4241255
0.6923345,0.5260946,0.4035522
0.6906788,0.5045657,0.3918387
0.6972322,0.5267634,0.402751
0.6955506,0.5041702,0.3905702
0.6822978,0.5053141,0.3813127
0.6866446,0.5286159,0.374602
0.6874268,0.5001968,0.3789731
0.6592703,0.4994308,0.3811795
0.678627,0.5204663,0.3625691
0.6646196,0.4909754,0.3787211
0.6646476,0.4920285,0.3405975
0.6706855,0.4818314,0.3766711
0.6559199,0.4830109,0.3505265
0.6439576,0.4806799,0.3416472
0.6656268,0.4699061,0.3666428
0.6516285,0.4709176,0.3414766
0.653976,0.4406064,0.3474302
0.6598459,0.4613672,0.3423807
0.6574741,0.4595157,0.3224532
0.6682302,0.4521631,0.3444666
0.6660836,0.4503872,0.32535
0.6686781,0.4207845,0.3329543
0.675332,0.4426341,0.3301905
0.6648841,0.4417884,0.3252445
0.6661042,0.4164429,0.3176124
0.6557356,0.415906,0.3134263
0.677027,0.4113259,0.3265079
0.6672291,0.4122047,0.323297
0.6668162,0.4141186,0.3078542
0.6887452,0.411614,0.3219579
0.6793918,0.4144919,0.3196666
0.7016804,0.4128698,0.3341286
0.6926119,0.4165886,0.332003
0.6950017,0.3960333,0.3268315
0.7056521,0.4206075,0.3445492
0.6816428,0.4260352,0.3542165
0.6989623,0.4066907,0.3371294
0.6946106,0.4325957,0.3665212
0.7121139,0.4141511,0.3494759
0.6882034,0.4209136,0.359148
0.7103132,0.4227717,0.3736052
0.7011718,0.4294989,0.3714056
0.6908304,0.4344133,0.3680876
0.7138509,0.4380827,0.3838622
0.7042784,0.445175,0.381554
0.7029849,0.4506277,0.3657617
0.7070475,0.429704,0.3771191
0.7146591,0.4597566,0.3772694
0.7043162,0.4670042,0.3741724
0.7251306,0.4693216,0.3875972
0.7143682,0.476761,0.3841866
0.7151209,0.4595082,0.3776584
0.7330678,0.4868391,0.3813684
0.7218181,0.4941557,0.37765
0.7218974,0.4768865,0.3707067
0.7102848,0.4840693,0.3667956
0.7299626,0.4862187,0.3795525
0.7183295,0.4931949,0.3756671
0.7378795,0.4950682,0.3883336
0.7259294,0.5016074,0.3841087
0.7230394,0.50845,0.3675033
0.7332804,0.5097582,0.3922599
0.7304692,0.5164148,0.3753663
0.7060227,0.4978746,0.3918089
0.7380442,0.523261,0.3826802
0.6996513,0.5318806,0.3848331
0.701406,0.5086046,0.3934221
0.7067699,0.5360734,0.3909037
0.7085773,0.5120575,0.3994884
0.7058477,0.5163432,0.3820973
0.7025281,0.542989,0.3924807
0.7139995,0.5190645,0.3892218
0.6908885,0.5256956,0.3798643
0.7220791,0.520854,0.3965031
0.5684593,0.4859428,0.4332632
0.5509214,0.5119501,0.4563918
0.5781354,0.4869485,0.4411707
0.5607046,0.5131581,0.463113
0.5729233,0.4888823,0.4595302
0.5619046,0.4923046,0.4551206
0.5681031,0.5185171,0.4538532
0.5708086,0.4933435,0.4634053
0.5593896,0.4957463,0.4589531
0.5657883,0.5214753,0.4571203
0.5664209,0.4997021,0.4492288
0.5555382,0.5023135,0.4445839
0.7288604,0.4994554,0.3067978
0.7182402,0.4780856,0.3288699
0.7325721,0.484141,0.3012713
0.7294546,0.4848556,0.3383276
