x,y,z,color
0.8770399,0.2291841,0.7716081,1
0.8721668,0.207,0.7536125,1
0.8618168,0.2178493,0.7663532,1
0.8756962,0.236403,0.7474601,1
0.8655679,0.2075693,0.7614254,1
0.8738164,0.2186427,0.7742777,1
0.8694307,0.2417557,0.7597183,1
0.8773529,0.2136675,0.7751226,1
0.8722799,0.2383179,0.7622386,1
0.8788007,0.2521691,0.7784517,1
0.8719136,0.2359936,0.7661726,1
0.8768646,0.2499716,0.7825574,1
0.8622097,0.2652743,0.800694,1
0.8522559,0.2481564,0.7885598,1
0.8543782,0.2610683,0.8046001,1
0.8427876,0.2426872,0.7917168,1
0.8433687,0.2539553,0.8063762,1
0.8313425,0.2756071,0.7917163,1
0.8314796,0.2428591,0.8035658,1
0.8545639,0.252473,0.8157594,1
0.8198949,0.2691275,0.7949272,1
0.843996,0.2779407,0.8040552,1
0.8101602,0.2526044,0.7804922,1
0.8351688,0.2617952,0.7884489,1
0.8255382,0.2391302,0.8069504,1
0.8297718,0.2468833,0.770115,1
0.7943749,0.2552193,0.7737988,1
0.8310166,0.2341575,0.7483932,1
0.839547,0.2439435,0.7516769,1
0.8370506,0.2659269,0.7686144,1
0.8293689,0.238161,0.7338856,1
0.8460938,0.2589686,0.7501447,1
0.8387372,0.273035,0.7175495,1
0.855893,0.2535721,0.7370422,1
0.8485223,0.2683804,0.7482632,1
0.8594605,0.281698,0.718262,1
0.8572708,0.2648991,0.744412,1
0.8672614,0.2779699,0.7583348,1
0.8635215,0.3020318,0.745277,1
0.8708721,0.2730606,0.7618671,1
0.8590375,0.2871474,0.739398,1
0.8516486,0.3097631,0.7701035,1
0.856433,0.2797479,0.7876725,1
0.8471755,0.3014405,0.7769192,1
0.8496386,0.3116592,0.7942922,1
0.8378173,0.2906538,0.7823791,1
0.8382782,0.2994215,0.7983303,1
0.8602221,0.3091854,0.8148936,1
0.8235106,0.2846047,0.7987852,1
0.8447148,0.2936904,0.8134068,1
0.807738,0.3097353,0.7943089,1
0.8292889,0.2768015,0.8055784,1
0.8162205,0.2943442,0.7852199,1
0.8164022,0.3009242,0.7920514,1
0.8043871,0.2773796,0.7697062,1
0.8059839,0.284317,0.7749821,1
0.8091825,0.2917701,0.7789947,1
0.8008272,0.2693043,0.7539093,1
0.7880252,0.2795438,0.7582742,1
0.8004854,0.2560003,0.7304799,1
0.7894704,0.2674857,0.7353432,1
0.7982084,0.2779729,0.7390349,1
0.7951795,0.259036,0.7148313,1
0.8058904,0.2711352,0.7200086,1
0.8048489,0.2956188,0.6987584,1
0.8162944,0.2677419,0.7069211,1
0.8152567,0.2928784,0.7294616,1
0.8262525,0.3068928,0.6991073,1
0.8183243,0.3230334,0.7141341,1
0.815711,0.3068358,0.6997142,1
0.8248801,0.3203703,0.7150149,1
0.8321145,0.3316067,0.7285984,1
0.8218436,0.3054568,0.7470019,1
0.8350813,0.327375,0.7339457,1
0.8227378,0.341705,0.754066,1
0.856166,0.3230259,0.7438249,1
0.8185706,0.3339064,0.7619829,1
0.8506823,0.3144381,0.7510675,1
0.8111001,0.3235463,0.766815,1
0.8413869,0.3429022,0.7950226,1
0.8008284,0.3088464,0.7677404,1
0.8235663,0.3171476,0.7823017,1
0.8292259,0.3323398,0.7639697,1
0.8098216,0.298014,0.7759408,1
0.8149844,0.3123892,0.7961965,1
0.7958842,0.3199113,0.7651731,1
0.7833682,0.2953498,0.7854929,1
0.7843136,0.3009576,0.750955,1
0.7863538,0.3066683,0.7563584,1
0.7770305,0.2826783,0.7735541,1
0.781848,0.2891369,0.7355804,1
0.7751358,0.3071174,0.7516629,1
0.7642058,0.2755011,0.7150234,1
0.7790936,0.2929567,0.7289408,1
0.7720047,0.3044472,0.7344967,1
0.7852947,0.2736979,0.6976439,1
0.7872199,0.2963693,0.7161666,1
0.8035059,0.3089998,0.6823979,1
0.8073524,0.2918392,0.704155,1
0.8241761,0.3052948,0.7148654,1
0.8281316,0.330136,0.6985755,1
0.8444828,0.302535,0.7119325,1
0.8418424,0.3183587,0.6874764,1
0.8853908,0.3429538,0.7174905,1
0.8583704,0.314873,0.7347172,1
0.8998068,0.3384393,0.7249097,1
0.8696464,0.3498452,0.7440014,1
0.9079108,0.3302521,0.7356851,1
0.8750769,0.3403947,0.7558075,1
0.904721,0.3517803,0.7778131,1
0.899832,0.3376127,0.7893957,1
0.9070152,0.312715,0.7785068,1
0.8876491,0.3210486,0.7987935,1
0.8726707,0.3376751,0.787049,1
0.8693434,0.3424416,0.8022662,1
0.8650752,0.3054992,0.8166332,1
0.8473426,0.3208043,0.801386,1
0.8415346,0.3252594,0.8130695,1
0.823846,0.299526,0.794477,1
0.8005918,0.3062142,0.8040606,1
0.801709,0.2788358,0.8222982,1
0.7790276,0.2863983,0.7885922,1
0.7760383,0.2926735,0.7940383,1
0.7619878,0.2692845,0.7695438,1
0.7617036,0.2768632,0.7724522,1
0.7509148,0.2963238,0.7870382,1
0.7559709,0.2651269,0.7468487,1
0.7508261,0.2873542,0.7606451,1
0.7600239,0.2996254,0.7205119,1
0.7519261,0.2733988,0.7240188,1
0.7933393,0.2990228,0.7390171,1
0.7656491,0.3142303,0.7004502,1
0.8088369,0.300027,0.7172364,1
0.7827654,0.3169342,0.6815717,1
0.8271597,0.3454225,0.7020665,1
0.8424456,0.3215276,0.7112836,1
0.838929,0.3407712,0.6840125,1
0.8588672,0.3667582,0.709283,1
0.8538876,0.3437137,0.6853247,1
0.8722358,0.3687045,0.7135563,1
0.865394,0.3861731,0.7334155,1
0.8628173,0.3704188,0.7246037,1
0.8713677,0.3839417,0.7448235,1
0.8779153,0.3958445,0.7244816,1
0.8702926,0.3760496,0.7581478,1
0.8737704,0.3852621,0.7781546,1
0.8624406,0.4035715,0.7692505,1
0.8436372,0.3700397,0.78974,1
0.8483111,0.3845269,0.7770692,1
0.8273476,0.3906517,0.7945555,1
0.8237944,0.35227,0.8078306,1
0.807231,0.3658167,0.7914793,1
0.8033044,0.3681767,0.8021088,1
0.7869087,0.3402678,0.7825933,1
0.7839264,0.3421433,0.7888644,1
0.7698606,0.3141497,0.7652784,1
0.7697375,0.3170665,0.769515,1
0.7603362,0.3325279,0.785097,1
0.7880988,0.2983696,0.7478088,1
0.7532282,0.3059797,0.7537788,1
0.7920542,0.3235815,0.7218409,1
0.7591536,0.3327515,0.7283518,1
0.7712148,0.3018708,0.731457,1
0.8069144,0.3153142,0.7374575,1
0.8085008,0.3396991,0.7150643,1
0.8230568,0.3127444,0.7224541,1
0.8251976,0.3398248,0.7035266,1
0.8392462,0.3565014,0.7159551,1
0.8396037,0.3424124,0.7008626,1
0.8512505,0.3582561,0.7158949,1
0.8426425,0.3749956,0.734487,1
0.8565309,0.3560855,0.7220233,1
0.8446705,0.3703204,0.7425733,1
0.8550115,0.3482693,0.7317063,1
0.8397716,0.3590165,0.7520476,1
0.8293685,0.3777382,0.7411224,1
0.8301466,0.3839533,0.757786,1
0.8305212,0.3481105,0.7733825,1
0.8170788,0.3627507,0.7587336,1
0.8156122,0.3655405,0.7713018,1
0.8009409,0.3376645,0.7537898,1
0.7802511,0.3423221,0.7655085,1
0.7840722,0.3133015,0.7850821,1
0.7644243,0.3195618,0.7531424,1
0.7645097,0.32436,0.7590873,1
0.7532744,0.29944,0.7348843,1
0.7567794,0.3057688,0.7378125,1
0.7491202,0.3243322,0.75331,1
0.7562789,0.291923,0.7144766,1
0.7531441,0.3138044,0.7306594,1
0.7638366,0.3256885,0.7342533,1
0.7987632,0.2999992,0.7005413,1
0.7985311,0.3254775,0.7214621,1
0.8102229,0.3402095,0.6895754,1
0.8087764,0.3248208,0.7142811,1
0.8191017,0.3391522,0.7276094,1
0.8154623,0.3640037,0.7144607,1
0.8233129,0.3355079,0.7307,1
0.8107436,0.3490543,0.7094253,1
0.8210927,0.3686664,0.7390988,1
0.8058531,0.3390123,0.7598429,1
0.8139833,0.3570904,0.7477467,1
0.7967556,0.3669512,0.7676849,1
0.7838823,0.3425543,0.7555057,1
0.7829369,0.3465255,0.7698014,1
0.7813746,0.3492287,0.782545,1
0.7669108,0.3204849,0.7643808,1
0.7657857,0.3218774,0.7720342,1
0.7536665,0.3352887,0.7499166,1
0.7364512,0.2995517,0.7565923,1
0.7452385,0.313821,0.7299029,1
0.7316936,0.3232277,0.7361329,1
0.73711,0.2917497,0.7421984,1
0.7295346,0.3137201,0.7207616,1
0.7333859,0.3269264,0.7283934,1
