0.699244 0.8315563 0.2818708
0.6919791 0.808621 0.3082584
0.6984181 0.8187065 0.2751306
0.6912334 0.8410172 0.3016748
0.6978431 0.805378 0.2688242
0.6841637 0.8174738 0.2834094
0.6970441 0.8373132 0.3078883
0.6833326 0.8040053 0.2771445
0.6761059 0.8259541 0.3041462
0.6825857 0.8355988 0.2717157
0.6754551 0.8121601 0.2990649
0.6822921 0.8219497 0.3126568
0.6891762 0.8317494 0.2810524
0.6822113 0.8084327 0.3092782
0.6688479 0.8204709 0.2803773
0.682032 0.8404427 0.3067557
0.6685394 0.8073355 0.3233877
0.6816158 0.8277367 0.3044611
0.6679371 0.8401724 0.3211313
0.6745846 0.8049548 0.2903349
0.6672541 0.8276303 0.3190728
0.6739019 0.8380926 0.3336483
0.6664621 0.8152487 0.3168707
0.6728237 0.8255917 0.3312915
0.6654007 0.8025232 0.3144443
0.6969495 0.8148224 0.3309351
0.703168 0.8248147 0.3454739
0.6953841 0.8016871 0.3291393
0.701544 0.8116109 0.3441563
0.6937069 0.8336743 0.3279693
0.7000713 0.8433735 0.3429835
0.6923925 0.8200744 0.3272107
0.6986627 0.8298044 0.3427992
0.684516 0.8416668 0.3605259
0.6973324 0.8160004 0.3431753
0.683089 0.8279493 0.3609843
0.6755865 0.8043389 0.3455248
0.682038 0.8138847 0.3613937
0.6745828 0.8354021 0.3916243
0.6809989 0.7992224 0.3619148
0.6873121 0.8087727 0.3779862
0.6796928 0.8306911 0.3625101
0.6653833 0.7971366 0.380417
0.6716381 0.806913 0.3944819
0.663839 0.8284317 0.3808266
0.6765099 0.8024777 0.4085175
0.6624395 0.8142709 0.3809521
0.6687905 0.8236773 0.3966569
0.660906 0.7998239 0.4263057
0.667064 0.8091965 0.3965125
0.6530836 0.8210731 0.4123939
0.6653582 0.794558 0.395857
0.6576653 0.8161486 0.4252954
0.6890837 0.827659 0.4425843
0.6951562 0.7915673 0.4120995
0.6875095 0.8133028 0.4412728
0.6938128 0.8230031 0.4093269
0.6545998 0.7870266 0.42432
0.6859146 0.7986062 0.4411844
0.6781155 0.8201296 0.4245312
0.6843138 0.8294308 0.4391933
0.6767907 0.8055936 0.4226284
0.6828923 0.8148237 0.437357
0.6754281 0.7907473 0.4662162
0.6817328 0.7999187 0.4354794
0.6676548 0.8112222 0.4522324
0.6803992 0.7848103 0.4792524
